nm,phyto_mixA,Cryptophyta_L,Cryptophyta_H,Diatoms,Dinoflagellates,Green_algae
584,0.011,0.013197882000000001,0.0109896,0.010116772,0.016815999999999998,0.007333999999999999
585,0.0109,0.013044775000000002,0.0106248,0.010053809,0.016704,0.00739
586,0.0107,0.012892946,0.010282800000000002,0.009991493399999997,0.016597,0.007438
587,0.0106,0.012743673999999998,0.009963599999999998,0.009930078799999999,0.016492,0.007478
588,0.0105,0.012598330999999999,0.009655799999999999,0.009869943999999999,0.016390000000000002,0.007509999999999999
589,0.0104,0.012457801,0.0093708,0.009811357599999997,0.01629,0.007533999999999999
590,0.0103,0.012323380999999998,0.009108599999999998,0.009754872599999999,0.016193,0.007549
591,0.0102,0.012195692,0.0088578,0.0097008998,0.016099,0.007559
592,0.0101,0.012075616,0.0086298,0.009650007999999998,0.016007,0.007562
593,0.01,0.011963868999999999,0.0084132,0.009602781799999998,0.015918,0.00756
594,0.009899999999999999,0.011860807,0.0082194,0.009559710999999999,0.015832999999999996,0.007555999999999999
595,0.0098,0.011766787999999997,0.008037,0.009521380199999997,0.01575,0.007549
596,0.009699999999999999,0.011682282,0.0078774,0.009488421399999997,0.01567,0.007541
597,0.009699999999999999,0.011607402,0.0077292,0.009461371799999996,0.015594,0.007533999999999999
598,0.0096,0.011542166,0.0075924,0.009440784399999997,0.015519999999999999,0.007529999999999999
599,0.0096,0.011486593,0.0074784000000000005,0.009427243799999999,0.015449999999999998,0.007528
600,0.0095,0.011440607999999998,0.0073644,0.009421271399999997,0.015384,0.0075309999999999995
601,0.0095,0.011404079999999999,0.0072732,0.009423356999999997,0.015319999999999999,0.0075379999999999996
602,0.009399999999999999,0.011376726,0.007193400000000001,0.009433974599999997,0.015260999999999999,0.007552
603,0.009399999999999999,0.011358169999999997,0.0071364,0.009453519199999998,0.015205,0.007573
604,0.009399999999999999,0.011347962,0.0070794000000000004,0.009482338399999998,0.015153999999999999,0.007601
605,0.009399999999999999,0.011345612,0.0070452,0.009520669199999998,0.015106,0.0076359999999999996
606,0.009399999999999999,0.0113505,0.007022400000000001,0.009568764399999997,0.015061999999999999,0.007679
607,0.009399999999999999,0.011361967999999997,0.007022400000000001,0.009626671399999998,0.015024,0.00773
608,0.009399999999999999,0.011379208,0.007022400000000001,0.009694247999999999,0.014989,0.007788000000000001
609,0.009399999999999999,0.011401353999999997,0.0070452,0.009771225599999999,0.01496,0.007854000000000002
610,0.009399999999999999,0.011427560999999998,0.0070794000000000004,0.009857303999999999,0.014935,0.007926
611,0.0095,0.011456794999999999,0.0071364,0.009951740599999996,0.014915,0.008004
